NAME,YEAR,THEME,Number of unique parts,Number of parts,UNIQUENESS
Switch Track - 1 Right and 1 Left,1967,4.5V,1,3,0.333333
Train Motor (RC),2009,RC Train,1,3,0.333333
Christoph Kramer (20),2016,DFB Minifigures,2,6,0.333333
TC-14,2012,Minifig Pack,1,3,0.333333
LEGO Star Wars: The Visual Dictionary,2009,Books,2,6,0.333333
Lego Road Safety Kit,1981,Town,6,19,0.315789
Wyplash,2011,Ninjago,6,19,0.315789
Sensei Wu,2011,Ninjago,6,19,0.315789
Birthday Pack Heart,2004,Clikits,6,19,0.315789
Cole,2011,Ninjago,5,16,0.312500
Miles' Exo-Flex Suit,2016,Duplo,5,16,0.312500
Adventurous Puppies,2001,Fairy-Tale,4,13,0.307692
Dusty and Chug,2013,Duplo,4,13,0.307692
DUPLO Town Airport,2009,Duplo,11,36,0.305556
Pretty in Pink Beauty Set,2005,Clikits,9,30,0.300000
Vikings Chess Set,2006,Game,9,30,0.300000
Zoo Train,2012,Duplo,3,10,0.300000
Big Front Loader,2013,Duplo,3,10,0.300000
Cool Room Catchers,2003,Clikits,8,27,0.296296
Three Minifig Pack - Ninja #3,2000,Ninja,5,17,0.294118
Chopov,2011,Ninjago,5,17,0.294118
Kai,2011,Ninjago,5,17,0.294118
Deluxe Train Set,2008,Duplo,14,48,0.291667
Swashbuckler,2014,Series 12 Minifigures,2,7,0.285714
"Advent Calendar 2012, Star Wars (Day 24) - Santa Darth Maul",2012,Star Wars,2,7,0.285714
Bathroom,1991,Duplo,2,7,0.285714
Pilot - Complete Set,2011,Series 3 Minifigures,2,7,0.285714
Grandma - Complete Set,2013,Series 11 Minifigures,2,7,0.285714
"Advent Calendar 2012, Star Wars (Day 23) - Snowman R2-D2",2012,Star Wars,2,7,0.285714
ChromaStone,2010,Ben 10,2,7,0.285714
Snowboarder - Complete Set,2011,Series 3 Minifigures,2,7,0.285714
Lego Mosaik Set (Small),1955,Mosaic,2,7,0.285714
Scribble-Face Bad Cop,2014,The LEGO Movie Series,2,7,0.285714
Genie - Complete Set,2012,Series 6 Minifigures,2,7,0.285714
Graduate - Complete Set,2011,Series 5 Minifigures,2,7,0.285714
Vampire - Complete Set,2010,Series 2 Minifigures,2,7,0.285714
Warrior,2001,Xalax,2,7,0.285714
Traffic Cop - Complete Set,2010,Series 2 Minifigures,2,7,0.285714
Red Hood™,2017,Batman,2,7,0.285714
Swampfire,2010,Ben 10,2,7,0.285714
Zane DX,2011,Ninjago,6,21,0.285714
Left and Right Switches,1974,12V,2,7,0.285714
Lloyd Garmadon,2012,Ninjago,5,18,0.277778
Bytar,2012,Ninjago,5,18,0.277778
Creative Animals,2014,Duplo,5,18,0.277778
Krazi,2011,Ninjago,5,18,0.277778
Mickey and Friends Beach House,2016,Duplo,8,29,0.275862
Nuckal,2011,Ninjago,6,22,0.272727
Red,2012,Cars,3,11,0.272727
Gresh,2010,Stars,3,11,0.272727
Samurai X,2012,Ninjago,6,22,0.272727
LEGO Store Grand Opening Exclusive Set Mission Viejo Mall Mission Viejo CA,2011,LEGO Brand Store,3,11,0.272727
Pizza Planet Truck,2010,Duplo,3,11,0.272727
Helicopter,1986,Basic,3,11,0.272727
Tigger's Expedition,2011,Duplo,3,11,0.272727
Spinjitzu Starter Set,2011,Ninjago,9,33,0.272727
Playground,2013,Educational and Dacta,13,48,0.270833
Cool Carry-All Set,2005,Clikits,4,15,0.266667
Brachiosaurus,2001,Dinosaurs,4,15,0.266667
Duplo Community People,2006,Duplo,4,15,0.266667
Creative Sorter,2012,Duplo,4,15,0.266667
Kendo Cole,2012,Ninjago,5,19,0.263158
Sir Danju,2005,Knights Kingdom II,5,19,0.263158
Sir Rascus,2005,Knights Kingdom II,5,19,0.263158
Minifigure Wedding Favor Set,2011,LEGO Brand Store,5,19,0.263158
Wild Animals Set,2012,Educational and Dacta,9,35,0.257143
A.I.R. Patrol Jet,2002,Airport,10,39,0.256410
The Hobbit,2012,Game,11,43,0.255814
Tow Truck,1989,Duplo,1,4,0.250000
Toddler Build and Boat Fun,2014,Duplo,4,16,0.250000
Coca-Cola Goal Keeper,2002,Soccer,1,4,0.250000
Coca-Cola Secret A,2002,Soccer,1,4,0.250000
Advent Calendar 2004 Clikits (Day  7) Gift Tag with Icons,2004,Clikits,1,4,0.250000
Friends 4-Ever Jewels & More,2005,Clikits,6,24,0.250000
Deep Sea Diver - Complete Set,2010,Series 1 Minifigures,2,8,0.250000
"Shell Station Brick and Sign, 6 Named Beams",1966,Supplemental,3,12,0.250000
Pyjamas Emmet,2014,The LEGO Movie,1,4,0.250000
"Advent Calendar 2014, Friends (Day 6) - Ewa, Christmas Outfit",2014,Friends,1,4,0.250000
Star Wars Character Encyclopedia,2011,Books,1,4,0.250000
Stylin' Citrus Jewels-n-More,2005,Clikits,3,12,0.250000
Advent Calendar 2008 Castle (Day 24) - Jester,2008,Castle,1,4,0.250000
Race Day,2012,Cars,4,16,0.250000
CHI Battles,2013,Speedorz,13,52,0.250000
Kruncha,2011,Ninjago,5,20,0.250000
Advent Calendar 2004 Clikits (Day 14) Gift Tag with Icons,2004,Clikits,1,4,0.250000
Atakus,2009,Agori,2,8,0.250000
My First Playhouse,2015,Duplo,4,16,0.250000
Actor 2,2001,Studios,1,4,0.250000
Mickey Mouse,2016,Disney,1,4,0.250000
Dirt Crusher Gearbox with Light,2005,Supplemental,1,4,0.250000
"Advent Calendar 2012, Friends (Day 1) - Olivia, Long Sleeve Chrismas Top",2012,Friends,1,4,0.250000
"Advent Calendar 2013, Friends (Day  1) - Stephanie",2013,Friends,1,4,0.250000
Actor 3,2001,Studios,1,4,0.250000
Forestman - Complete Set,2010,Series 1 Minifigures,2,8,0.250000
Advent Calendar 2005 Clikits (Day 23) Gift Tag with Icons,2005,Clikits,1,4,0.250000
Pierre Pig and His Tuba,1984,Fabuland,1,4,0.250000
Lawn Gnome - Complete Set,2011,Series 4 Minifigures,2,8,0.250000
Stormtrooper Key Chain (with Lego logo on back),2002,Key Chain,1,4,0.250000
Circus Transport,2013,Duplo,2,8,0.250000
Jet Ray,2010,Ben 10,2,8,0.250000
Bianca Lamb and Stroller,1980,Fabuland,1,4,0.250000
Dump Truck,2003,Construction,3,12,0.250000
"Advent Calendar 2013, Friends (Day  4) - Lily, Christmas Outfit",2013,Friends,1,4,0.250000
Manual Points,1991,9V,1,4,0.250000
Dutch National Player,1998,Soccer,1,4,0.250000
Birthday Pack Star,2004,Clikits,4,16,0.250000
Cameraman 2,2001,Studios,1,4,0.250000
Coca-Cola Secret B,2002,Soccer,1,4,0.250000
Lord Garmadon,2011,Ninjago,5,20,0.250000
"Advent Calendar 2012, Friends (Day 6) - Christina, Red Christmas Outfit",2012,Friends,1,4,0.250000
Harry Potter: Building the Magical World,2011,Books,1,4,0.250000
Advent Calendar 2005 Clikits (Day 16) Gift Tag with Icons,2005,Clikits,1,4,0.250000
Coca-Cola TV Cameraman,2002,Soccer,1,4,0.250000
Clone Trooper Lieutenant,2013,Star Wars Clone Wars,1,4,0.250000
Advent Calendar 2005 Clikits (Day 12) Gift Tag with Icons,2005,Clikits,1,4,0.250000
Lasha,2012,Ninjago,5,20,0.250000
Advent Calendar 2004 Clikits (Day 21) Gift Tag with Icons,2004,Clikits,1,4,0.250000
Vanilla's Magic Tea Party,2001,Fairy-Tale,2,8,0.250000
Maggie,2015,The Simpsons,1,4,0.250000
Starter Set,2012,Ninjago,7,29,0.241379
Gravel Pit,2007,Duplo,6,25,0.240000
Fun Flamingo Frames 'n' More,2006,Clikits,6,25,0.240000
Jay ZX,2012,Ninjago,5,21,0.238095
16 Road Signs,1958,Supplemental,5,21,0.238095
My First LEGO Duplo Supermarket,2011,Duplo,5,21,0.238095
Speedy Police Car,2003,Police,4,17,0.235294
Tyrannosaurus Rex,2001,Dinosaurs,4,17,0.235294
Lex Luthor,2012,Batman,3,13,0.230769
Ambulance,2014,Duplo,3,13,0.230769
"LEGO Store Grand Opening Exclusive Set, Fairview Mall, Toronto, ON, Canada",2011,LEGO Brand Store,3,13,0.230769
"LEGO Store Grand Opening Exclusive Set, Oak Park Mall, Overland Park, KS",2012,LEGO Brand Store,3,13,0.230769
"LEGO Store Grand Opening Exclusive Set, Eastview Mall, Victor, NY",2012,LEGO Brand Store,3,13,0.230769
LEGO Store Grand Opening Exclusive Set Fashion Valley San Diego CA,2011,LEGO Brand Store,3,13,0.230769
"LEGO Store Grand Opening Exclusive Set, Vistas Court, Lone Tree, CO",2011,LEGO Brand Store,3,13,0.230769
Police Car,1986,Basic,3,13,0.230769
My First Caterpillar,2016,Duplo,3,13,0.230769
Designer Desk Set,2004,Clikits,5,22,0.227273
Hot Buster,2004,Power Racers,7,31,0.225806
Dragon Fortress,2003,Orient Expedition,48,215,0.223256
Four Car Auto Transport,1970,Vehicle,4,18,0.222222
Dracus,2006,Knights Kingdom II,4,18,0.222222
Postman,2009,Duplo,2,9,0.222222
My First Garden,2013,Duplo,4,18,0.222222
Friendship Frame / Mirror,2004,Clikits,2,9,0.222222
Delivery Vehicle,2015,Duplo,2,9,0.222222
Nya,2011,Ninjago,4,18,0.222222
Kitchen,1988,Fabuland,6,27,0.222222
Read & Build Busy Farm,2012,Duplo,2,9,0.222222
Photo Safari,2012,Duplo,8,36,0.222222
Mosasaurus,2001,Dinosaurs,4,18,0.222222
Star Wars Battle of Hoth,2012,Game,13,59,0.220339
Mickey & Minnie Birthday Parade,2015,Duplo,5,23,0.217391
Fire & Police Station,1982,Fabuland,5,23,0.217391
"LEGO Store Grand Opening Exclusive Set, North Point Mall, Alpharetta, GA",2012,LEGO Brand Store,3,14,0.214286
Doc McStuffins Rosie the Ambulance,2015,Duplo,3,14,0.214286
"LEGO Store Grand Opening Exclusive Set, Sawgrass Mills, Sunrise, FL",2011,LEGO Brand Store,3,14,0.214286
"LEGO Store Grand Opening Exclusive Set, Opry Mills, Nashville, TN",2012,LEGO Brand Store,3,14,0.214286
"LEGO Store Grand Opening Exclusive Set, The Woodlands Mall, Houston, TX",2012,LEGO Brand Store,3,14,0.214286
Groovy Grape Jewels-n-More,2005,Clikits,3,14,0.214286
LEGO Store Grand Opening Exclusive Set Stoneridge Mall Pleasanton CA,2011,LEGO Brand Store,3,14,0.214286
